district_encoded,property_type_encoded,bedrooms,bathrooms,house_size,land_size,bed_bath_ratio,total_rooms,has_house_size,has_land_size,is_apartment,log_house_size,log_land_size
3,0,2,1,1350.0,6.2,2.0,3,1,1,0,7.208600337960199,1.9740810260220096
8,0,4,3,1966.0,25.0,1.3333333333333333,7,1,1,0,7.584264818389059,3.258096538021482
5,0,3,3,2350.0,6.0,1.0,6,1,1,0,7.762596048540069,1.9459101490553132
3,0,6,4,2552.0,7.25,1.5,10,1,1,0,7.845024417241484,2.1102132003465894
3,0,3,3,1250.0,6.5,1.0,6,1,1,0,7.1316985104669115,2.0149030205422647
3,0,5,3,2038.0,6.0,1.6666666666666667,8,1,1,0,7.620214770574455,1.9459101490553132
3,0,3,2,2100.0,6.7,1.5,5,1,1,0,7.650168700845001,2.0412203288596382
3,0,2,1,1600.0,7.8,2.0,3,1,1,0,7.3783837129967145,2.174751721484161
5,0,4,3,3500.0,10.0,1.3333333333333333,7,1,1,0,8.160803920954665,2.3978952727983707
3,0,4,3,2800.0,7.0,1.3333333333333333,7,1,1,0,7.937731775260109,2.0794415416798357
3,0,3,3,1433.0,7.5,1.0,6,1,1,0,7.2682230211595655,2.1400661634962708
5,0,4,2,2000.0,8.5,2.0,6,1,1,0,7.601402334583733,2.2512917986064953
5,0,3,1,1480.0,10.0,3.0,4,1,1,0,7.300472814267799,2.3978952727983707
3,0,3,2,2950.0,10.0,1.5,5,1,1,0,7.989899374942939,2.3978952727983707
4,0,5,2,2500.0,12.9,2.5,7,1,1,0,7.824445930877619,2.631888840136646
3,0,4,3,2750.0,7.0,1.3333333333333333,7,1,1,0,7.919719760924575,2.0794415416798357
3,0,5,3,3200.0,7.5,1.6666666666666667,8,1,1,0,8.071218539969863,2.1400661634962708
3,0,3,1,1050.0,6.88,3.0,4,1,1,0,6.957497370876951,2.064327903869788
3,0,3,1,1500.0,15.0,3.0,4,1,1,0,7.313886831633462,2.772588722239781
3,0,3,3,2400.0,14.5,1.0,6,1,1,0,7.783640596221253,2.740840023925201
3,0,1,1,600.0,6.55,1.0,2,1,1,0,6.398594934535208,2.0215475632609334
3,0,2,2,1000.0,4.0,1.0,4,1,1,0,6.90875477931522,1.6094379124341003
3,0,8,3,3200.0,13.8,2.6666666666666665,11,1,1,0,8.071218539969863,2.6946271807700692
3,0,3,3,2250.0,7.2,1.0,6,1,1,0,7.719129840906732,2.1041341542702074
5,0,3,2,1625.0,10.0,1.5,5,1,1,0,7.3938782901077555,2.3978952727983707
3,0,5,5,3800.0,6.2,1.0,10,1,1,0,8.24301946898925,1.9740810260220096
3,0,4,3,5000.0,10.0,1.3333333333333333,7,1,1,0,8.517393171418904,2.3978952727983707
3,0,4,2,2460.0,10.0,2.0,6,1,1,0,7.8083230503910555,2.3978952727983707
3,0,4,4,2880.0,10.0,1.0,8,1,1,0,7.9658927350845286,2.3978952727983707
3,0,4,3,3400.0,8.0,1.3333333333333333,7,1,1,0,8.131824785007195,2.1972245773362196
3,0,4,2,3000.0,6.5,2.0,6,1,1,0,8.006700845440367,2.0149030205422647
3,0,3,2,1280.0,6.0,1.5,5,1,1,0,7.155396301896734,1.9459101490553132
3,0,3,2,1870.0,10.0,1.5,5,1,1,0,7.534228326274089,2.3978952727983707
3,0,4,2,1725.89,10.0,2.0,6,1,1,0,7.454077381850596,2.3978952727983707
3,0,4,4,2745.0,6.5,1.0,8,1,1,0,7.917900586327916,2.0149030205422647
3,0,4,4,3000.0,9.0,1.0,8,1,1,0,8.006700845440367,2.302585092994046
1,0,5,1,1200.0,80.0,5.0,6,1,1,0,7.0909098220799835,4.394449154672439
3,0,3,2,1200.0,7.0,1.5,5,1,1,0,7.0909098220799835,2.0794415416798357
3,0,3,2,1366.0,8.15,1.5,5,1,1,0,7.220373836723949,2.21375387928743
3,0,4,4,7000.0,45.0,1.0,8,1,1,0,8.853808274977197,3.828641396489095
3,0,3,2,1150.0,6.0,1.5,5,1,1,0,7.048386408721883,1.9459101490553132
3,0,3,2,1700.0,6.0,1.5,5,1,1,0,7.438971592395862,1.9459101490553132
3,0,4,3,3200.0,7.0,1.3333333333333333,7,1,1,0,8.071218539969863,2.0794415416798357
3,0,4,4,1570.0,10.5,1.0,8,1,1,0,7.359467638255621,2.4423470353692043
3,0,5,5,2774.0,11.0,1.0,10,1,1,0,7.928406026180535,2.4849066497880004
3,0,4,2,2300.0,9.5,2.0,6,1,1,0,7.741099090035366,2.3513752571634776
3,0,5,4,2490.0,9.1,1.25,9,1,1,0,7.820439515262181,2.312535423847214
3,0,3,2,1280.0,6.5,1.5,5,1,1,0,7.155396301896734,2.0149030205422647
3,0,5,4,2348.0,9.1,1.25,9,1,1,0,7.761744984658913,2.312535423847214
3,0,6,5,3000.0,10.0,1.2,11,1,1,0,8.006700845440367,2.3978952727983707
3,0,4,2,3500.0,17.0,2.0,6,1,1,0,8.160803920954665,2.8903717578961645
3,0,3,2,1200.0,6.2,1.5,5,1,1,0,7.0909098220799835,1.9740810260220096
3,0,5,4,3400.0,10.0,1.25,9,1,1,0,8.131824785007195,2.3978952727983707
8,0,3,2,2100.0,7.0,1.5,5,1,1,0,7.650168700845001,2.0794415416798357
3,0,3,3,2250.0,7.2,1.0,6,1,1,0,7.719129840906732,2.1041341542702074
3,0,3,2,1200.0,7.0,1.5,5,1,1,0,7.0909098220799835,2.0794415416798357
5,0,3,2,1050.0,11.0,1.5,5,1,1,0,6.957497370876951,2.4849066497880004
2,0,3,1,1000.0,45.0,3.0,4,1,1,0,6.90875477931522,3.828641396489095
3,0,3,2,1341.0,6.5,1.5,5,1,1,0,7.201916317531627,2.0149030205422647
3,0,5,5,3800.0,10.0,1.0,10,1,1,0,8.24301946898925,2.3978952727983707
3,0,4,2,3500.0,17.0,2.0,6,1,1,0,8.160803920954665,2.8903717578961645
0,0,4,1,1000.0,160.0,4.0,5,1,1,0,6.90875477931522,5.081404364984463
3,0,4,3,2950.0,6.0,1.3333333333333333,7,1,1,0,7.989899374942939,1.9459101490553132
3,0,4,3,3160.0,10.0,1.3333333333333333,7,1,1,0,8.058643712215618,2.3978952727983707
